framework_id,n_blocks,n_nodes,n_linkers,n_atoms_supercell,graph_diameter,n_influential,delta_alpha,delta_alpha_sd,alpha_min,alpha_max,asymmetry_A,asymmetry_sd,lcd_angstrom,pld_angstrom,mofid,source_url,provenance
hMOF-30,432,108,324,5724,35,573,1.2834,0.0091,2.0983,3.3816,-1.3433,0.0149,3.25,2.25,* MOFid-v1.NA.NA,/mofs/15368.json,"hMOF (hypothetical, not synthesised)"
hMOF-51,256,64,192,4352,58,436,1.2847,0.0184,1.8018,3.0865,-1.3511,0.0143,10.25,9.25,[O-]C(=O)c1ccc(c(c1)C)C(=O)[O-].[O-]C(=O)c1ccc(c(c1C)C)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0,/mofs/15389.json,"hMOF (hypothetical, not synthesised)"
hMOF-49,256,64,192,4352,58,436,1.2913,0.0303,1.8012,3.0925,-1.3546,0.0348,10.25,9.25,[O-]C(=O)c1cc(C)c(c(c1)C)C(=O)[O-].[O-]C(=O)c1ccc(c(c1)C)C(=O)[O-].[O-]C(=O)c1ccc(c(c1C)C)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0,/mofs/15387.json,"hMOF (hypothetical, not synthesised)"
hMOF-109,192,48,144,5568,54,557,1.2987,0.0103,1.8641,3.1628,-1.0403,0.0058,6.75,4.75,CCOc1c(OCC)c(C(=O)[O-])c(c(c1C(=O)[O-])OCC)OCC.CCOc1c(cc(c(c1OCC)C(=O)[O-])OCC)C(=O)[O-].C[C]Oc1c([C][O])ccc(c1OCC)C(=O)[O-].O.[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0,/mofs/15446.json,"hMOF (hypothetical, not synthesised)"
hMOF-99,97,96,1,5760,42,576,1.2991,0.0134,2.1501,3.4492,-1.5107,0.0176,4.25,3.25,,/mofs/15435.json,"hMOF (hypothetical, not synthesised)"
hMOF-108,256,64,192,6080,62,608,1.3068,0.0117,1.8496,3.1564,-1.1287,0.0209,7.25,6.25,CCOc1c(cc(c(c1OCC)C(=O)[O-])OCC)C(=O)[O-].CCOc1c(ccc(c1OCC)C(=O)[O-])C(=O)[O-].CCOc1cc(ccc1C(=O)[O-])C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0,/mofs/15445.json,"hMOF (hypothetical, not synthesised)"
hMOF-105,256,64,192,5440,60,544,1.3237,0.0208,1.8361,3.1598,-1.2603,0.0229,8.75,7.75,COc1cc(C(=O)[O-])c(c(c1C(=O)[O-])OC)OC.COc1cc(C(=O)[O-])c(cc1C(=O)[O-])OC.[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0,/mofs/15444.json,"hMOF (hypothetical, not synthesised)"
hMOF-63,144,48,96,6432,54,644,1.3394,0.0184,1.8793,3.2186,-1.1479,0.0191,6.75,5.25,CCCc1c(CCC)c(C(=O)[O-])c(c(c1C(=O)[O-])CCC)CCC.CCCc1c([C][O])cc(c(c1CCC)C(=O)[O-])CCC.[O].CCCc1cc(cc(c1C(=O)[O-])CCC)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0,/mofs/15402.json,"hMOF (hypothetical, not synthesised)"
hMOF-100,256,64,192,4416,60,442,1.3729,0.0113,1.7896,3.1625,-1.298,0.015,9.25,8.25,COc1cc(cc(c1C(=O)[O-])OC)C(=O)[O-].COc1cc(ccc1C(=O)[O-])C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0,/mofs/15438.json,"hMOF (hypothetical, not synthesised)"
hMOF-104,256,64,192,4416,60,442,1.4096,0.0094,1.7678,3.1774,-1.4427,0.0098,9.75,8.25,COc1c(ccc(c1OC)C(=O)[O-])C(=O)[O-].COc1cc(ccc1C(=O)[O-])C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0,/mofs/15442.json,"hMOF (hypothetical, not synthesised)"
